2026-09-16T21:48:12.451074Z DEBUG panoptikon::inferio::ledger: admitted a worker to a GPU's ledger model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 replica=2 base_mb=Some(31150) base_method="free_delta" reserved_at_load_mb=Some(31202) seeded_from_store=false
2026-09-16T21:48:12.460178Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=0 canvas_pixels=1843200 share_mb=0 room_mb=0 headroom_mb=0 external_mb=1317 reserve_mb=330 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=0 squeezed=true window_requests=2
2026-09-16T21:48:18.764406Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=30 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=16 squeezed=false window_requests=1
2026-09-16T21:48:19.083002Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=15 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=17 squeezed=false window_requests=1
2026-09-16T21:48:19.404090Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=7 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=18 squeezed=false window_requests=1
2026-09-16T21:48:19.724703Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=3 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=19 squeezed=false window_requests=1
2026-09-16T21:48:20.045206Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=20 squeezed=false window_requests=1
2026-09-16T21:48:20.372649Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=21 squeezed=false window_requests=1
2026-09-16T21:48:20.694167Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:21.014073Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:21.337826Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:21.656150Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:21.974112Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:22.291951Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:22.612475Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:22.930639Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:23.249710Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:23.570782Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:23.890407Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:24.209279Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:24.530339Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:24.848629Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:25.167526Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:25.485819Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:25.807871Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:26.129821Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:26.453418Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:26.773615Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:27.095318Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:27.416597Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:27.735990Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:28.054637Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:28.378011Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:28.695759Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:29.014801Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:29.332648Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:29.652066Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:29.970867Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:30.291322Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:30.610675Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:30.929967Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:31.250119Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:31.566064Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:31.885508Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:32.205372Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:32.526976Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:32.846449Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:33.167150Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:33.485822Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:33.805149Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
2026-09-16T21:48:34.124535Z DEBUG panoptikon::inferio::ledger: issued a memory grant model=clip/qwen3-vl-embedding-8b gpu=GPU-c77d0f94-a65c-d89c-7b73-16c446d242c4 unit_budget=1 mb=374 canvas_pixels=1843200 share_mb=374 room_mb=374 headroom_mb=0 external_mb=866 reserve_mb=217 reserve_rule="capped_default" pre_fit=true ramp_step=0 deflation=22 squeezed=false window_requests=1
